title,link,pub_date
Microsoft will be carbon negative by 2030 - Microsoft,https://news.google.com/rss/articles/CBMijwFBVV95cUxQZzJXSmh0ZHFTNVFKZXV4R0N6bXNWdUJaZk92X1BEdDBFMVZiUzJVZ0d0OTZuVUFaaWlkU0huRndHZl9pRHo1VEVTTTdsV2xMZnBaU2poUUlqRFZEM0VuSTBuRTF2UXVMRjMyanZmeWliM19FeTg0ZE40QzdXT29fNGx4YUZOZU5XYmUxZGdWYw?oc=5,"Thu, 16 Jan 2020 08:00:00 GMT"
Upgrading to the new Microsoft Edge - Windows Blog,https://news.google.com/rss/articles/CBMikgFBVV95cUxQaU9GaHFSamFpMnZacGNFUXFUR3huTENuamdxRVU0U1RVbldYRUJCR1d5UWpEV1l3SVQ5SlhYcTNXb3VlQThoM0NCYXQ4RjZZVFlJRjBUdWNWdVFTX3l3MVMzcWFvRnpyc19tSzY2bG41empoRWZWUkoyXzJpMVhMcC1Mc3hjNW1wOFRZekUzSWtHQQ?oc=5,"Wed, 15 Jan 2020 08:00:00 GMT"
Microsoft makes 'carbon negative' pledge - BBC.com,https://news.google.com/rss/articles/CBMiV0FVX3lxTE04eVhRN0tTWThtRTlFNVp6Snh1VHlBZ1RJNDNzdktYT2ZKdDVhMnJ2T0ZHYU94ZGNMRnZib0wyY0xDd0V2WC1zMlZHOXExNUVVRGt2RFREONIBXEFVX3lxTE1nQ3hfU3BUR1lRam1zYjBLcVdGcmhyRDFxWWNfbHJueFJfR2FXNUp3QVExWmZPbjczQXkwVzlmWU1mcUItRXY1dFJ1d0FMZEF6cXltcFlhOWxnZlRw?oc=5,"Thu, 16 Jan 2020 08:00:00 GMT"
How Did Microsoft Fare in the Post-Bill Gates Era? - Statista,https://news.google.com/rss/articles/CBMingFBVV95cUxQV2xOX0g3WWFsNjUyS044MFpPV1FjXzBDS0pIY0dYeWViZ0VrSlpiZkEtMHRnQ245RVljd0VDRHMwLWl0cWVoM1h6b2tFWmtaZEQ4emUtWVpZVU5FMXFGa2FpaWxramlmX3h5M3MxZE1yb0Z2R1Y1YUlJVjVObFJIbHd4R05EOTZGeGhXcmVsWGpIcEZDLTlmTWxTQ0RXd9IBowFBVV95cUxQNTh4X0pQeDY0dTVLTl9Qb3dRNFRaT2d5Tk9BRDZSNzNNWVM5c1RIbTdnQ28yZHN6cDJ0YkxPZEZEb2hjVTUxSHh2cDdlQUhkaTJHeDhQak1IWXA2WFpPUlhoMks5aTktd3RucDhEOGxfTmMtTzc1YWhBZU1PSDJ0Sk5NOV9QTW9SWENUZWVmaXpjYTFBVlpNOTZtR3dMcjBHRzhz?oc=5,"Mon, 13 Jan 2020 08:00:00 GMT"
Microsoft Windows CryptoAPI Spoofing Vulnerability (CVE-2020-0601) – How to Detect and Remediate - Qualys Blog,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQVHNMNW9HR2ZTcGt6UTZvZXlZME9qR2ZaNUp3V1d3SVZNMWdxNWZ4MGNkd3Etb3plMlpKMGJLYXdaeWdFeUxoZ09tRFNIejZzOGNqZ3ZiUWNpZzB6eWdEWVhLVE1KS3RhcmlJckJ4cjByQ2x5Y05TSkpGbHpDaW5lemVkbWtZVkJkWG0xRWxWRGR5bTluY05qd0pCak5lNXU1MFlCRmU2cFZYYks5QlJpaDhROURKT2RUWDJDQWNUTFN4VFd3ZDJsVE45R3hRWEszRUhobl95NDd2QlVreUFucWhTc3FqLUx0WkszckJ3N2s?oc=5,"Tue, 14 Jan 2020 08:00:00 GMT"
Microsoft Sustainability Calculator helps enterprises analyze the carbon emissions of their IT infrastructure - Microsoft,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPUnpnWjY2azUyQlJGam5SZF9UaXlNeFB1WV9HazFONnZXTUtRUU9QT1NTTTJLWjJDZjlVVjBreVh1SXV2bnV3RlZlQklZNjlJTTJJeUFNZ1liWFNFS2J0cXlITTUtYUZ1NmUwdlJsU0JUaWZqMmhLUzFCejVXVG5oUFRtV3l0R0tOMGRqYlZJeTNDdUt5U0ZGUTF5djZqcVlQSVI4T1VKc0VaN19OQV9yTVJ4TnFab0dRNGR6YlYwX2YxQXR4dFROeS16UzlYZHBCMjk5MVl5a3gxeGExLUFLUDBfZw?oc=5,"Thu, 16 Jan 2020 08:00:00 GMT"
Announcing Windows 10 Insider Preview Build 19546 - Windows Blog,https://news.google.com/rss/articles/CBMipgFBVV95cUxNT3RmMU1fNUphdUdpRDBrX0NKcE9QWWxZS2E0TXVLSWZ0U0ozR2ZFcVJaMHZNQy01TGpsZkotTVZSLTZlV2VSOG9EdmllaXZJOUpfRng3MXc4Vzg5X1ZMRUFFWURJLXJkc2xMTHVEUWxpRHhRR2hiWjNMaFIyNkx5SXQwQUwzMnJqaTBEdlVmbnZoYW1WQV9fVVVpbFM5dEUtV3dqRFRn?oc=5,"Thu, 16 Jan 2020 08:00:00 GMT"
Microsoft and Genesys expand partnership to help enterprises seize the power of the cloud for better customer experiences - Microsoft,https://news.google.com/rss/articles/CBMi8gFBVV95cUxOaTc3MFBYMVJQLUE0b0diZFpCTDNXNEo4ZHJBc2gwMm90Q3hLeXljdHdkMEdmNTFJbTNHbjdvUlhJNFp4d2t0OHJScWJGZ0JpY3J6RnotSDM1cWZrVnpXZXNMbnNOSFNWWjRINGlmV0ROQk9VQ2Q0ejNuYlhuZ1pULU9ieFZOTUZFNHROWm1ESjREdWhCd3hMa2s4MFNoNHNjc0JkTVhPdTNpQ25vNE54ZHFXRGxnVkxoVVc5al9ILUk5WkUzMDdlVlVXbGRZT0lHYjMtTWZraE9OWXJ6cUN0NzczRl9JbDFDMTdZWHczTlpKQQ?oc=5,"Thu, 23 Jan 2020 08:00:00 GMT"
"Microsoft launches new AI for Good program, AI for Health, to accelerate global health initiatives - Microsoft",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPZkYzb0dHQmlrMzJXZXN6Y19QUGpRVERGZTFuXzlIZ3BwOFN5T3R0U1R2UXRjWldVWURhWkdUc2dWb19fVXdMamRkMGZLZ3NKYktUcUFueE5jWlVWcGlNaXdySEVDcnhFY0ZRaWo5MGJzQVdXeFpCN01fV3hXd1N5bGs4TE5TYmc3S25xRW8xSEFvd25UdDhzZEhkbkZpT1hjTVJhZVBvUEhnNldrWGxudlQ2dkktUWpzNDRtcGJpdG5KRDNnQVdJUnNsWG1kSnlrbTFjdGhKeTE?oc=5,"Wed, 29 Jan 2020 08:00:00 GMT"
Lloyds Banking Group and Microsoft form partnership to accelerate bank’s digital transformation strategy - Microsoft,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPOTlsbnkxT0FIVTRZb3J0RHQ5WWN1TEQ2Sk1BMjkxek1IQ2phZ0VCaHVJTVdDMTJ4SEE3Zmd0RzVHdGpLUkRYMzBLRXhpNmdtSm1hRTdYTnkwdkdiRTRDVHhoSFNKS0U5S1J2akpkUFduLVk2bm0wdWdJa3BjeUt5bDBtLXJFZnZsbzF3RzhXOFNEMHg3R0JaY2JmV1VHbnlIcUJjOGEtQUtxS3g4S24wUEx5V1Q0Qmt0S0EtSjFINnN1V0toT3VoODFKdkVCNENhOUl3WkJHb25IZURCZVE?oc=5,"Thu, 16 Jan 2020 08:00:00 GMT"
