title,link,pub_date
"How Reliance Jio transformed India’s telecom industry, in five charts - Mint",https://news.google.com/rss/articles/CBMi3gFBVV95cUxQUFJWNVl6bzJ3dlYybko1TFM2cVd1Znl3UUFhSGlpcjdQYWowUV9leW9zYnBCeGpheEx2d0lUSklNWGxubzc2TEZ1OE1uYXNsdERQNFlMRUhjWmQycVQ4RVBBU2dXVE9vNFRBNTV1MmNwWDU5T09fdzVIbkNwZnFUZEZwdGVIeDBYUkd4cm1MUDVGN0cyNTNiVE5aYlIyLVBKZUUwWkkzZFhUVkhibzh4QWdBcnNPdURMcV9rb0hzRnlhSExqeG9DczFrbWQ3WGUyNzI2UzlzOUhoMlQyeVHSAeMBQVVfeXFMTldfTHVReUpaRGtZZjdrYVhUOGF1MTdHV3V2dnJRbUZ5ZUZzQnVJT1B6RTVoemFZS3U0LXlRNFJORFZlVndMSnZzbWlIUTJOY2E1VmNzUDdRcGFXSnB4QVViS0U4YjJweGw3bkgzWkpiX2pIQUZpbnVINjFkN3JBTUFnWlVBSnkxZFBrUmJnUUhidTNZcWl6Nl9uanZST28wUHB6eUlVcWVXZ0ZaOGpqeVJNaC13MjlkZjVEbWFwZWJ0czI5WW1yQWFQNkFKTzBaR0k0aFpiTVVxbUtISmlJRWtwZEE?oc=5,"Wed, 15 Jan 2020 08:00:00 GMT"
"Reliance Industries posts record Q3 profit at Rs 11,640 crore; revenue down 1.4% - Business Today",https://news.google.com/rss/articles/CBMi6AFBVV95cUxPTDlmNDhkSVMzeU5RanVMSS1VOW9mSTl3eGdYdFdNRTRfbWl4aFZfNlkwTXhHb2hpZVMwQzhIeEsyVDFmT2FkZ2x3cVVHSnlJQnZzQ3VVNU9QakgwbmRvTFFfek9fRnh2VklXcmdwOVlyb0lyS3A0UlZmMmtENWNpWnZKVjlHVEtSdzNWNjdBZVg1VWoxTFNYREJDS05qZU5Sb2J4T0xwa2NYV293ejhJWXN3UUcyWG9lRldtOVFyaDRScG12dS1VOEdtRFpyaHVDTlJvTTd4djR0cW1DOXI5YVhCRDFFYU8z?oc=5,"Fri, 17 Jan 2020 08:00:00 GMT"
Reliance launches new road project to counter pushback against plastics - Business Standard,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNRm5sdHJGYWVRY2tTdjhBSEc2cFpKZ2Z6MGk2OHU0RzlxU0hldGFZN2NDcDNxUlBPUUNHY3V5NF9yYWtmLWt2d0EtSS1mWVA1RlhWNmJvaUp6T2FuaVpTTEw0MF9qYnBFWkdhTW15cEVMQmV2OS14aXNjMEliR0FPTnhzeFlXQ0VVRHd0NFBmS1dRbkZ6VjNfY2hzUHJjZ2FXWHpfVW5EQ3dvcnFuVEZHS0NoRTBDZ19NUzlGRzR4OFVJa1cxcU5GakdUMlNVYURqQkdEYXd0QTZWRWvSAeABQVVfeXFMT3FyN2FlckNodXJKN1NKU3FMV1o5OS1rV0N0aS1fZlpUc1hwRUVDMkRfUTNXNl92YlI2UmpmN1o2SXBqYm1lLWVvZ2xYWlI1S1NlcUxPaXpIWlROZ2k5RkJmdEpOMnM4bnlEeUhWWkJsbEtpNXdNYUlwb1RIRjZyRU1hVXBHdUo2ajlkZGE5ZjZIUFptOUxEaDlmQkhyQ1dtQjJaa0ZhOGJVS1BoWUN2X3Z0RXQ3MUJuVUQ5X3EzVkg2UUZGbWk2VzZHRF9URmYzbjlobmllblkwUkRfNDFsZ0s?oc=5,"Wed, 29 Jan 2020 08:00:00 GMT"
RIL lays out road with plastic waste - The Hindu,https://news.google.com/rss/articles/CBMirAFBVV95cUxNQ2pzMWh0Rkw0Zjl6aHdFUXNjTjl4UnlPa2FrZFZHbnA3anhuZnZEbk1QaFptcE15Z2p1NS1NcHVTb0VUbUlndmhFVmRzYTFoTFNSME8tS2hiVmE3a2pxTGFJdGYyY2FGN045TEY0QXZIczJKeVRQVjgtT2pjb2gzMTNtZGUwMHJ6S2pWUFVuRV9FM3RkNi02QzZOa1o1UklweWtUQkR0RmR1Z1ZL0gGzAUFVX3lxTE4wS0MzUkQtSzl2OUw1bVBmZ2lmMUpZdzJ4VUY1Y1o4bTc0dnZhaV9EZDhzc2wtcDJNYUhvWExsN3p3MzJPcGIxa1JueWNKemZVRjlLanFNRkFpRzdqeFdhXzBkWTJfYlhVMzVJSlk4cG5ncjlNV1JxNVh2YUZYMXh4b1lSVEJUUjUzb0ZKZHdJN2ZmRFYzNUtsM3ZvcDhyRnJKNnMxWU1hUjB0c0ZwdFpBVTRF?oc=5,"Thu, 30 Jan 2020 08:00:00 GMT"
Reliance to enter restaurant business with Armani - ETRetail,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQeE9PZ3daLW5Hc19lVUFlUHY2ZFRPZnAtQm5pWXc0ZnE1RzhVc2RkaFN4RkJLalFnNjRTVUVTN2dUOERlV0N3Nm5zVmVlM3ppU2pVR2pqbnltZWtpZmJsYXJ3Y1FyNHVfUDUyZ1ZYOUVPdGlTUEZMUzAyUk41LXJQNDE2NTk5WXZ0Q0lpd3dsSkNoU003YlotQmZXOENldGFPX3NFVTZKczdiaE5WeG04QXRVVjQtWFE3eGFCRTdZUV9TYllfQkUtckwxRjN4OEV0MG9IWWxGSdIB3AFBVV95cUxPaFBFUUZ2VW1ETnJrUEJGODg0UFkyWXhrMjZ4X0FsTXlhOEE2c2ZjcVhRQk9KMXAxTUFiVnJDUlR3RXItZmFYY0R0cGVwb3pvYUNCdXloWnh4c0JSMF9valRvWWpMcHZBb1hVZVR0eFh6czRZTHZibkUwYl9HbXpBTDJrdmZpMF92QllIY3JjWXFEM2NsdUhNVlBtTkhTQnJWV0JuYXNrSHd1UGw5ZExFM3JfMURSVEgtZTIwRXNMZTlzZVl1R05TRnJmVjRsM1ZhdFp5UFFkUzYzZHZP?oc=5,"Fri, 31 Jan 2020 08:00:00 GMT"
Is 2020 The Year That Reliance Becomes India's Digital Champion? - Variety,https://news.google.com/rss/articles/CBMingFBVV95cUxNZmdVUm1tNFZ6SGllaWRIb1FrVGxWZm1CdmhNWEpzNXpHdEtWbklhSkh0d2lEMWU5Y0ZGZ0RlMFZsRGpoVDM2SkZoSzZuVUZUaXdFQ0VzN3htbzk3TmNvWEFmLUhiZUpCZHNTQXFxdkl6TkZfeXc5ZnE0Wk5pVHJVRndfdkF3ajh4dVBSblh1bE5iTjN0NnpNSUdjVVRqdw?oc=5,"Mon, 06 Jan 2020 08:00:00 GMT"
Reliance setting up small stores for last-mile delivery - The Economic Times,https://news.google.com/rss/articles/CBMizgFBVV95cUxOX3o1ZERSaThBdjBxN2k1aFhxVmhHM1FyZmdDV1lmS0E1UHJTOVdKZHNSaTYtcFRfYkluTHJCVjhHOFdjcHVFUWlRUkJoSkJ0dFgtZFNKOGpITGFOVTlWeTJSdm9SVUFlbl9VbFhUdzR5MkpPNGZhZ1M3MGsxcVQ1Mmc1b3k5RmdvMFYyRDJBNkpSZmUwR00tQjlDaUsySGE1VjVzYVMtUDNvWDFYbXZoYnJQSFp6azZaRkRZS1N5SHFXSjhpZjBhR2FxUTdjUdIB0wFBVV95cUxPeGhydTBEbkxCRWtaYUZ5bDQ5YTg2S2pVbHF6R1ZGWVJseUlVdVBLZG1nX0tqU1Q2SVBrblhGU1p2a081RnBaV3ZBSG9EcUJHazVwNnlaR0JmMFFlbWkzdWNkTUF0OHdPUk0tUEVWM0d0Vkt0T3h5WFpCWnFsUFFjNXdaUnVYOGstMDRYME5obFBpN2E5dzk1dW9yWkpQVHNBdE5JanBsY2g2enQzRGZadXhRdW15R2RsVGVSOHBTS2xXYklWU1V5STM2U2k4Mi1hbng0?oc=5,"Tue, 21 Jan 2020 08:00:00 GMT"
"Reliance Jio launches UPI payments, to take on Google Pay, Paytm and others - YourStory",https://news.google.com/rss/articles/CBMijAFBVV95cUxQRVgyaVNaUS1oV1Z5aFJkek5CeGpkcDNQZFd1Y2h2d1VSVXZEQUlmMnhnU0FadjJGSzZWQk1IdjRHZlZENHgxZlZlbkdTbHl2SzNocW5oNm5FbFVIbWVIV2FZbHE3UTEtcFRnZWk5QlZZcEVEV2gtbmZQVzBRZmxwUGhHYWxuQjNiUEIzZA?oc=5,"Mon, 20 Jan 2020 08:00:00 GMT"
India mobile storm blows in Reliance Jio’s favour - Financial Times,https://news.google.com/rss/articles/CBMicEFVX3lxTFBQMDZ4aWhPdTJTSWUwaFM4WUp0ckxmZDlBY1NpNFNzY1VqWHNPd1ZLQzNldDkxLS1vWVpYa2tCaHZKWGhPM1RzaFY1Y0phemM2Q3oxZTRXWWFPbnh4ckF0WWxEOTlCbmNVQm9QVE9vcjc?oc=5,"Thu, 16 Jan 2020 08:00:00 GMT"
Reliance Jio launches UPI payments on MyJio app - BusinessLine,https://news.google.com/rss/articles/CBMitAFBVV95cUxNRVNqQ0RzUWdlZUFlSU5zSXRQOUpPNkNqOXFMdUFRTkdEZWd0OFhMWnc4d3Y0SFAzb2pqVFdpQnpieUlpVnQyaC1yaU04ZFZJa3diVjJ1enBwal93Z1JzemgxODQ2NUp3SFhvMVVva1ItX2ZCY3ZyaE9tcjBadUZaNXdwdWlleUE5R0hWUUZySUx4TG9YelI1NjhhWXhMa0ZHM2toWGJVZnM5ajVLUjNXSGluTjTSAbsBQVVfeXFMTTN5NXNCRUxZdkc3VXNkMkk5Q3c3ZW1Cbk45d0NwTFNBSkhMRlFkQlBHY2hzaENKd2VxTTVUU2tTckxBZ05xa0pDMXlwR1d4Zm05NkQ2MlhWa0lhRlpSWmJuQjRUWHB2Zjk4UFlpYzZaZ2lqeWlEQVZNUGdWZlpxdlhwV2RISnNoVERfeU9ycWVmX29ySW5vTF9VMFNrVHZnT21QalVyWWFvNE10LWtjbHVPblNhM04zd2Mtdw?oc=5,"Mon, 20 Jan 2020 08:00:00 GMT"
